t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u0,u1,u2,m1,m2,m3,m4,pos_error
12.72,CIRCLE,-0.16441308291611742,0.03244983282191314,0.5001095570312832,0.29274607242806877,-0.10558079057764781,-2.875514425417722e-05,-0.017049059519241138,0.011403189535101896,0.0006457296229742793,-0.15331287759994078,0.02408492190094924,0.5,0.0004375959261861411,6.318367928802933e-05,-6.8143948221971e-05,40.691353746267275,40.69122521853216,40.69134439059964,40.69147291833475,0.013899578969164529
12.88,CIRCLE,-0.1166639898276911,0.018409326002308754,0.5001050368777867,0.301808784190107,-0.07574093985521153,-2.7913842714038236e-05,-0.0181104687484586,0.009643926056277525,0.0006702198749514751,-0.10477515012282011,0.011101065743910121,0.5,0.000437618097224847,7.000347369846762e-05,-6.232267949755362e-05,40.69134522544571,40.691227677328065,40.69135971235333,40.691477260470975,0.013955866518360694
13.040000000000001,CIRCLE,-0.06775408752763913,0.009220745448890514,0.500100652941198,0.3078488134728773,-0.045135610217600416,-2.7051908682722467e-05,-0.018989162454199054,0.007790588638347792,0.00069924603574594,-0.05517940673819529,0.0030540944207098075,0.5,0.000437642183505748,7.618499535548404e-05,-5.597827102573694e-05,40.69133710695032,40.69123152515504,40.69137521927843,40.69148080107371,0.014005724289530406
13.200000000000001,CIRCLE,-0.01817292925141817,0.004976992480091428,0.5000964107060343,0.31080828384584214,-0.014073758732932129,-2.6146863931848163e-05,-0.01967617611554579,0.005859917490795058,0.0007323314625280691,-0.00502646357836475,2.5265974474109054e-05,0.5,0.00043766234334127643,8.147749850609713e-05,-4.877228245408558e-05,40.691328412115475,40.691236421686924,40.6913900981119,40.691482088540454,0.014048432300560907
13.36,CIRCLE,0.03158335917317846,0.005721030483543522,0.5000923190652746,0.310657440169771,0.017130824263582128,-2.5184898493873535e-05,-0.020164449197593193,0.0038696946268706716,0.0007683253389832771,0.04517723663996702,0.002045165411985961,0.5,0.0004376732649723487,8.586774928594448e-05,-4.0789336697595266e-05,40.69131841853906,40.69124148491253,40.69140344188191,40.691480375508434,0.014082400768909103
13.52,CIRCLE,0.08101667397557369,0.011445422375668583,0.5000883845339213,0.30739567916899324,0.04816281839912054,-2.4190814945525773e-05,-0.020449115500876813,0.0018388870516916785,0.0008061027455431404,0.09492473865704659,0.009093395857326658,0.5,0.0004376761240992861,8.940627427606003e-05,-3.2535261292490356e-05,40.691307735919544,40.691246370478375,40.691415001534224,40.691476366975394,0.014105818081658863
13.68,CIRCLE,0.12963167926228578,0.022092408310748993,0.5000846113850586,0.3010522522245163,0.07870866098850102,-2.3175468966523378e-05,-0.020527290737916357,-0.00021296198444071147,0.0008447864305291317,0.14371369388705785,0.02109878451883518,0.5,0.00043767038220803283,9.22293897194114e-05,-2.3671644685931576e-05,40.69129583396572,40.69125118637841,40.69142514217172,40.69146978975903,0.014117279596956108
13.84,CIRCLE,0.17694059596737965,0.03755448719406078,0.5000810007761783,0.2916864139750899,0.10845969557028723,-2.2161518444863405e-05,-0.020398157916175854,-0.0022656433641667414,0.0008834291205615316,0.1910514331170883,0.037940101389542014,0.5,0.0004376580150515078,9.401761307373566e-05,-1.4440058300749215e-05,40.691283544815015,40.6912563091171,40.69143363771612,40.691460873414044,0.014116337503017412
14.0,CIRCLE,0.22246802075748384,0.05767549703675382,0.5000775502133289,0.27938755670954607,0.13711523799621042,-2.117463559135651e-05,-0.02006301954727093,-0.004298578958098096,0.000921216333687552,0.2364599414641059,0.05944728342366151,0.5,0.00043764229064951197,9.485355150714512e-05,-4.9963013386202936e-06,40.69127143872199,40.69126201509287,40.691440920372955,40.69145034400208,0.014103867770821515
14.16,CIRCLE,0.26575571204863935,0.08225219337595432,0.5000742528494981,0.26427475808967993,0.1643857311788534,-2.0238388970891044e-05,-0.01952530706283878,-0.00629115411506435,0.0009574205484590136,0.2794806853530134,0.08540315182745312,0.5,0.00043762716108245516,9.47709522266937e-05,4.6817361106775445e-06,40.691260069157295,40.69126889947831,40.69144764896617,40.69143881864515,0.01408222087791946
14.32,CIRCLE,0.3063672642447043,0.11103631469140295,0.5000710997229785,0.24649595861495294,0.1899956738888185,-1.9362480855198645e-05,-0.018790467155167436,-0.008222912105523159,0.0009912579163654735,0.31967924277311704,0.11554560512330397,0.5,0.0004376149541606121,9.370770793487381e-05,1.4447437478587867e-05,40.691249989986275,40.691277239602215,40.69145398368263,40.69142673406669,0.014055160180900255
