t,controller,scenario,mode,px,py,pz,vx,vy,yaw,ref_px,ref_py,ref_pz,ex,ey,ez,pos_error,wind_on
7.368,PID,HOVER_NO_WIND,HOVER,-0.029444945135191428,-9.089104747195786e-17,0.4906067451688314,0.0026828483613841234,7.163241072210268e-17,2.0101801393323896e-15,0.0,0.0,0.5,-0.029444945135191428,-9.089104747195786e-17,-0.009393254831168596,0.03090692528120042,0
7.376,PID,HOVER_NO_WIND,HOVER,-0.029423810115515397,-9.038326789156971e-17,0.49061763515814744,0.002641877459503767,5.820754346032989e-17,1.9928646081780174e-15,0.0,0.0,0.5,-0.029423810115515397,-9.038326789156971e-17,-0.009382364841852564,0.030883480563879736,0
7.384,PID,HOVER_NO_WIND,HOVER,-0.02940299864538392,-8.997424442225947e-17,0.4906284996571743,0.00260143376643474,4.598767275516559e-17,1.975933800405565e-15,0.0,0.0,0.5,-0.02940299864538392,-8.997424442225947e-17,-0.00937150034282569,0.030860352363769775,0
7.392,PID,HOVER_NO_WIND,HOVER,-0.029382506541830587,-8.965635131261684e-17,0.49063933721967795,0.002561512944166623,3.4719963446156535e-17,1.9584813227657207e-15,0.0,0.0,0.5,-0.029382506541830587,-8.965635131261684e-17,-0.009360662780322049,0.030837537164430363,0
7.4,PID,HOVER_NO_WIND,HOVER,-0.029362329656877795,-8.941895726674527e-17,0.49065014645054134,0.002522110619098976,2.47775669274928e-17,1.9415043770771355e-15,0.0,0.0,0.5,-0.029362329656877795,-8.941895726674527e-17,-0.009349853549458664,0.03081503146640435,0
7.408,PID,HOVER_NO_WIND,HOVER,-0.02934246387779795,-8.925397963587805e-17,0.4906609260047791,0.002483222384980393,1.584289477010233e-17,1.9246399827931116e-15,0.0,0.0,0.5,-0.02934246387779795,-8.925397963587805e-17,-0.009339073995220881,0.03079283178774061,0
7.416,PID,HOVER_NO_WIND,HOVER,-0.029322905127351917,-8.915386094464011e-17,0.4906716745865628,0.0024448438057543174,7.850126711828763e-18,1.907978612757796e-15,0.0,0.0,0.5,-0.029322905127351917,-8.915386094464011e-17,-0.0093283254134372,0.030770934664495642,0
7.424,PID,HOVER_NO_WIND,HOVER,-0.02930364936400545,-8.911207174658075e-17,0.49068239094825605,0.002406970418308578,6.6841788286184e-19,1.892516767098592e-15,0.0,0.0,0.5,-0.02930364936400545,-8.911207174658075e-17,-0.009317609051743947,0.030749336651214407,0
7.432,PID,HOVER_NO_WIND,HOVER,-0.029284692582124367,-8.91286542766961e-17,0.4906930738894605,0.002369597735135153,-6.5218025279439645e-18,1.8775280705064297e-15,0.0,0.0,0.5,-0.029284692582124367,-8.91286542766961e-17,-0.009306926110539515,0.03072803432139082,0
7.44,PID,HOVER_NO_WIND,HOVER,-0.02926603081214915,-8.920617167126842e-17,0.49070372225607173,0.0023327212469023326,-1.4005164080805776e-17,1.849980903203061e-15,0.0,0.0,0.5,-0.02926603081214915,-8.920617167126842e-17,-0.009296277743928272,0.030707024267908466,0
